Điểm đến,Tỉnh/Thành phố,Loại thông tin,Nội dung chi tiết
Mộc Châu,Sơn La,Điểm đến,"Đồi chè trái tim (hình trái tim xanh mướt), thác Dải Yếm (thác nước cao), mùa hoa mận/cải trắng (cánh đồng hoa), nông trại sữa (thăm bò và sữa tươi), đồi thông Bản Áng (dã ngoại), hang Dơi (hang động), vườn dâu tây (hái dâu), rừng thông Bản Áng (cắm trại)."
Mộc Châu,Sơn La,Thời điểm đẹp nhất,"Tháng 12–2 (hoa mận trắng, 10–18°C). Tháng 10–11 (cải trắng nở). Tháng 3–4 (hoa đào rực)."
Mộc Châu,Sơn La,Mức độ an toàn,"An toàn cao. Đường đèo cẩn thận. Cấp cứu: 115 hoặc BVĐK Sơn La (100km)."
Mộc Châu,Sơn La,Tổng chi phí (2N1Đ/1 người),"Xe HN–MC: 400k-500k; KS: 600k; Ăn: 400k; Vé đồi chè: 20k-50k; Tổng ≈ 1.8-2.5 triệu."
Mộc Châu,Sơn La,Gói tour tiết kiệm,"Combo 2N1Đ (xe + ks + tour đồi chè + hái dâu): 1.5-2 triệu."
Mộc Châu,Sơn La,Nơi ở (đề xuất 5),"1. Hoa Ban Hotel – 7.9/10, gần bến xe, 350k. 2. Suối Tiên – 8.0/10, sạch sẽ, 300k. 3. Sao Xanh – 8.1/10, view đồi chè, 400k. 4. Mộc Châu Arena Village – 8.7/10, bungalow, 800k. 5. Thảo Nguyên Resort – 8.5/10, hồ bơi, 700k."
Mộc Châu,Sơn La,Di chuyển đến nơi,"HN → MC: xe khách (5h, 200k-300k). Xe máy (5h)."
Mộc Châu,Sơn La,Giao thông nội bộ,"Xe máy: 150k-200k. Taxi địa phương."
Mộc Châu,Sơn La,Ẩm thực,"Bê chao (bê xào lăn), cá hồi nướng, sữa tươi nguyên chất, dâu tây tươi. Quán: Đông Hải (bê sữa), Cá Hồi 64 (cá hồi), Xuân Bắc 181. Giá 150–300k."
Mộc Châu,Sơn La,Hoạt động độc đáo,"Chụp đồi chè trái tim, cưỡi ngựa đồi thông, hái dâu tây, thăm nông trại sữa và bò, trekking hang Dơi, cắm trại rừng thông Bản Áng. Trẻ em: hái dâu, cưỡi ngựa, thăm nông trại."
Mộc Châu,Sơn La,Kết nối & giấy tờ,"4G tốt. Không visa. App: Moc Chau Tourism."
Mộc Châu,Sơn La,Yếu tố cá nhân,"Phù hợp: cặp đôi (ảnh lãng mạn), gia đình. Mục đích: thiên nhiên, nghỉ dưỡng. Cảm xúc: trong lành, thơ mộng."
Mộc Châu,Sơn La,Thời tiết & trang phục,"10–20°C, lạnh đông. Mang: áo ấm dày, khăn quàng, giày thể thao, mũ nón."

Cao Bằng,Cao Bằng,Điểm đến,"Thác Bản Giốc (thác biên giới VN-TQ, cao 60m rộng 300m), động Ngườm Ngao (hang động nhũ đá lấp lánh), Pác Bó (di tích lịch sử, hang Cốc Bó), suối Lê-nin (suối xanh trong), cao nguyên đá (cảnh quan đá vôi), hang Cốc Mạc (hang động), làng rèn Phúc Sen (làng nghề truyền thống)."
Cao Bằng,Cao Bằng,Thời điểm đẹp nhất,"Tháng 8–11 (nước thác dồi dào, 20–28°C). Tháng 3–4 (hoa đào nở)."
Cao Bằng,Cao Bằng,Mức độ an toàn,"An toàn, dân thân thiện. Đường xa đèo dốc cẩn thận. Cấp cứu: 115 hoặc BVĐK Cao Bằng."
Cao Bằng,Cao Bằng,Tổng chi phí (3N2Đ/1 người),"Xe HN–CB: 700k-800k; KS: 700k; Ăn: 500k; Vé thác Bản Giốc: 50k; Tổng ≈ 2.5-3 triệu."
Cao Bằng,Cao Bằng,Gói tour tiết kiệm,"Tour 3N2Đ (xe + ks + HDV + thác + Pác Bó): 3-3.5 triệu."
Cao Bằng,Cao Bằng,Nơi ở (đề xuất 5),"1. Jeanne Hotel – 8.0/10, trung tâm, 400k. 2. Dương Hà – 7.9/10, 350k. 3. Sài Gòn Bản Giốc – 8.2/10, view thác, 450k. 4. Max Boutique Hotel – 8.5/10, hiện đại, 600k. 5. Homestay Pác Bó – 8.0/10, gần di tích, 300k."
Cao Bằng,Cao Bằng,Di chuyển đến nơi,"HN → CB: xe khách (8h, 350k-400k). Xe máy (2 ngày)."
Cao Bằng,Cao Bằng,Giao thông nội bộ,"Xe máy: 200k-250k/ngày."
Cao Bằng,Cao Bằng,Ẩm thực,"Phở chua (phở cay chua), vịt quay lá mắc mật, hạt dẻ rang, lạp xưởng hun khói. Quán: Quyên (phở chua), Mỹ Vị (lẩu cá), Dân Tộc Quán. Giá 50–200k."
Cao Bằng,Cao Bằng,Hoạt động độc đáo,"Ngắm thác Bản Giốc (thuyền gần thác), khám phá động Ngườm Ngao, thăm Pác Bó (lịch sử cách mạng), tắm suối Lê-nin, trekking cao nguyên đá, làng rèn Phúc Sen (xem rèn dao). Trẻ em: tắm suối, thăm làng nghề."
Cao Bằng,Cao Bằng,Kết nối & giấy tờ,"4G yếu ở thác (Viettel). Không visa."
Cao Bằng,Cao Bằng,Yếu tố cá nhân,"Phù hợp: khám phá lịch sử, thiên nhiên. Mục đích: mạo hiểm nhẹ. Cảm xúc: hùng vĩ, nguyên sơ."
Cao Bằng,Cao Bằng,Thời tiết & trang phục,"18–28°C. Mang: áo mưa, giày chống trượt, mũ nón."

Lạng Sơn,Lạng Sơn,Điểm đến,"Vịt quay Macao, chợ Kỳ Lừa (chợ biên giới), Mẫu Sơn (núi tuyết hiếm), ải Chi Lăng (di tích lịch sử), biên giới Tân Thanh (mua sắm), chùa Tam Thanh (chùa cổ), động Nhị Thanh (hang động)."
Lạng Sơn,Lạng Sơn,Thời điểm đẹp nhất,"Tháng 11–2 (Mẫu Sơn tuyết rơi, 5–15°C). Tháng 3–4 (hoa đào)."
Lạng Sơn,Lạng Sơn,Mức độ an toàn,"An toàn. Biên giới cần CMND. Cấp cứu: 115 hoặc BVĐK Lạng Sơn."
Lạng Sơn,Lạng Sơn,Tổng chi phí (2N1Đ/1 người),"Xe HN–LS: 300k-400k; KS: 600k; Ăn: 400k; Tổng ≈ 1.6-2 triệu."
Lạng Sơn,Lạng Sơn,Gói tour tiết kiệm,"Combo Mẫu Sơn 2N1Đ (xe + ks + leo núi): 1.4-1.8 triệu."
Lạng Sơn,Lạng Sơn,Nơi ở (đề xuất 5),"1. Hoàng Sơn Hải – 7.9/10, gần chợ, 350k. 2. Vi Boutique – 8.0/10, 400k. 3. Long Vũ – 8.1/10, 450k. 4. Mường Thanh Lạng Sơn – 8.5/10, cao cấp, 800k. 5. Homestay Mẫu Sơn – 8.0/10, view núi, 300k."
Lạng Sơn,Lạng Sơn,Di chuyển đến nơi,"HN → LS: xe khách (3h, 150k-200k). Tàu hỏa (3h, 200k)."
Lạng Sơn,Lạng Sơn,Giao thông nội bộ,"Xe máy: 150k-200k. Taxi địa phương."
Lạng Sơn,Lạng Sơn,Ẩm thực,"Vịt quay lá mắc mật, phở chua, bánh cuốn trứng, nem nướng Hữu Lũng. Quán: Vi Tặng (phở vịt), Xuân Sửu (áp chao), 168 (lẩu dê). Giá 50–150k."
Lạng Sơn,Lạng Sơn,Hoạt động độc đáo,"Leo Mẫu Sơn (ngắm tuyết), chợ biên giới Kỳ Lừa/Tân Thanh (mua sắm), thăm ải Chi Lăng (lịch sử), chùa Tam Thanh (cầu nguyện), khám phá động Nhị Thanh. Trẻ em: chợ phiên, leo núi nhẹ."
Lạng Sơn,Lạng Sơn,Kết nối & giấy tờ,"4G tốt. Không visa, mang CMND biên giới."
Lạng Sơn,Lạng Sơn,Yếu tố cá nhân,"Phù hợp: ăn uống, mua sắm biên giới. Mục đích: khám phá. Cảm xúc: vui vẻ, dân dã."
Lạng Sơn,Lạng Sơn,Thời tiết & trang phục,"10–20°C, lạnh đông. Mang: áo ấm dày, khăn, giày leo núi."

Hà Nội,Hà Nội,Điểm đến,"Hồ Gươm (hồ trung tâm, tháp Rùa), Văn Miếu (đại học đầu tiên), phố cổ (36 phố phường), Hồ Tây (hồ lớn, chèo thuyền), Lăng Bác (di tích lịch sử), Hoàng thành Thăng Long (UNESCO), múa rối nước (nghệ thuật dân gian), chợ đêm (mua sắm), phố đi bộ (cuối tuần), cầu Long Biên (cầu cổ), nhà hát lớn (kiến trúc Pháp)."
Hà Nội,Hà Nội,Thời điểm đẹp nhất,"Cả năm. Mùa thu 9–11 (20–28°C, dễ chịu, lá vàng). Tránh hè 5–8 (nắng nóng 35°C+)."
Hà Nội,Hà Nội,Mức độ an toàn,"An toàn, nhưng cẩn thận xe máy hỗn loạn, trộm cắp ở chỗ đông. Cấp cứu: 115 hoặc BV Bạch Mai."
Hà Nội,Hà Nội,Tổng chi phí (2N1Đ/1 người),"KS: 600k-800k; Ăn: 400k; Vé: 200k-300k; Tổng ≈ 1.5-2 triệu."
Hà Nội,Hà Nội,Gói tour tiết kiệm,"City tour 1 ngày (xe + HDV + phố cổ + Hồ Gươm): 500k-700k."
Hà Nội,Hà Nội,Nơi ở (đề xuất 5),"1. Hanoi Sky – 8.2/10, phố cổ, 400k. 2. Luxury Backpackers – 8.0/10, budget, 350k. 3. A83 – 8.1/10, 450k. 4. La Siesta – 9.0/10, cao cấp, 1 triệu. 5. Sofitel Metropole – 9.5/10, lịch sử, 3 triệu."
Hà Nội,Hà Nội,Di chuyển đến nơi,"Máy bay sân bay Nội Bài (taxi 300k), tàu hỏa, xe khách từ các tỉnh."
Hà Nội,Hà Nội,Giao thông nội bộ,"Grab (xe máy 20k/km), xe buýt (7k/lượt), xe đạp (50k/ngày), tàu điện Cát Linh (30k)."
Hà Nội,Hà Nội,Ẩm thực,"Phở bò, bún chả (Obama ăn), bánh cuốn, cà phê trứng. Quán: Hàng Mành (bún chả), Thìn (phở), Giang (cà phê). Giá 50–100k."
Hà Nội,Hà Nội,Hoạt động độc đáo,"Dạo phố cổ, thăm Hồ Gươm, Văn Miếu, múa rối nước, phố đi bộ (âm nhạc đường phố), cầu Long Biên (ngắm sông Hồng). Trẻ em: công viên nước, bảo tàng dân tộc học."
Hà Nội,Hà Nội,Kết nối & giấy tờ,"Wifi mạnh khắp nơi. Không visa. App: Hanoi Travel, Grab."
Hà Nội,Hà Nội,Yếu tố cá nhân,"Phù hợp: tất cả (thành phố đa dạng). Mục đích: văn hóa, ẩm thực. Cảm xúc: sôi động, cổ kính."
Hà Nội,Hà Nội,Thời tiết & trang phục,"Mùa thu: 20–28°C. Mang: áo mỏng, giày đi bộ thoải mái."

Pu Luong,Thanh Hóa,Điểm đến,"Ruộng bậc thang xanh mướt, bản Kho Mường (làng Thái cổ), trekking rừng quốc gia, rafting sông Mã, homestay lưng núi, thác Hiêu (thác nước cao), hang Dơi (hang động), bản Đôn (làng trung tâm), bản Kho Mường (ruộng và nhà sàn)."
Pu Luong,Thanh Hóa,Thời điểm đẹp nhất,"Tháng 5–6 (nước đổ ruộng bậc thang xanh), Tháng 9–10 (lúa chín vàng óng)."
Pu Luong,Thanh Hóa,Mức độ an toàn,"An toàn, dân thân thiện. Đường trekking cần giày tốt, tránh mưa trơn. Cấp cứu: 115 hoặc BVĐK Thanh Hóa (100km)."
Pu Luong,Thanh Hóa,Tổng chi phí (3N2Đ/1 người),"Xe HN–PL: 500k-600k; Homestay: 800k; Ăn: 500k; Trekking: 200k; Tổng ≈ 2.5-3 triệu."
Pu Luong,Thanh Hóa,Gói tour tiết kiệm,"Tour 3N2Đ (xe + homestay + trekking + rafting): 2.8-3.5 triệu."
Pu Luong,Thanh Hóa,Nơi ở (đề xuất 5),"1. Pu Luong Ecocharm – 8.2/10, sinh thái, 400k. 2. Natura Bungalow – 8.0/10, nhà sàn, 350k. 3. Valley Homestay – 7.9/10, thân thiện, 300k. 4. Pu Luong Retreat – 8.8/10, resort, 1 triệu. 5. Hiêu Homestay – 8.3/10, gần thác, 450k."
Pu Luong,Thanh Hóa,Di chuyển đến nơi,"HN → PL: xe khách + xe ôm (5h, 250k-300k). Xe máy (5h)."
Pu Luong,Thanh Hóa,Giao thông nội bộ,"Xe máy: 150k-200k. Đi bộ trekking miễn phí."
Pu Luong,Thanh Hóa,Ẩm thực,"Vịt cổ lũng nướng, cơm lam ống tre, rau rừng xào. Quán: Đặc Sản Pu Luong (dân tộc), Hiêu Quán (gần thác). Giá 100–250k."
Pu Luong,Thanh Hóa,Hoạt động độc đáo,"Trekking bản Đôn - Kho Mường (ruộng bậc thang), rafting sông Mã (mạo hiểm), ngủ nhà sàn, tắm thác Hiêu, khám phá hang Dơi. Trẻ em: rafting nhẹ, thăm bản làng."
Pu Luong,Thanh Hóa,Kết nối & giấy tờ,"4G yếu ở rừng (Viettel). Không visa. App: Pu Luong Travel."
Pu Luong,Thanh Hóa,Yếu tố cá nhân,"Phù hợp: trekking yêu thiên nhiên, gia đình. Mục đích: nghỉ dưỡng sinh thái. Cảm xúc: yên bình, nguyên sơ."
Pu Luong,Thanh Hóa,Thời tiết & trang phục,"20–30°C. Mang: giày leo núi, áo mưa, quần dài chống côn trùng."

Đà Nẵng,Đà Nẵng,Điểm đến,"Thành phố biển hiện đại với Cầu Rồng phun lửa/nước cuối tuần, Bán đảo Sơn Trà (núi khỉ, chùa Linh Ứng với tượng Phật cao 67m), Bà Nà Hills (công viên giải trí kiểu châu Âu, Cầu Vàng tay Phật khổng lồ), bãi biển Mỹ Khê (bãi biển đẹp nhất Việt Nam, cát trắng mịn, sóng nhẹ), Ngũ Hành Sơn (núi đá Marble Mountains với hang động, chùa chiền, làng nghề đá Non Nước), chợ Hàn (mua sắm hải sản khô, đồ lưu niệm), ẩm thực đường phố phong phú, check-in: Cầu Vàng, Sun World Ba Na Hills (cáp treo dài nhất thế giới), chợ đêm Helio, Dragon Bridge, Cham Museum (bảo tàng Chăm lớn nhất), Son Tra Peninsula (rừng quốc gia, khỉ hoang dã)."
Đà Nẵng,Đà Nẵng,Thời điểm đẹp nhất,"Tháng 4–6 & 9–11: nắng đẹp, biển xanh ngọc, 25–30°C, ít mưa, lý tưởng du thuyền và khám phá. Tránh 6–8 (bão, sóng lớn), mùa đông 12–2: lạnh 15–20°C, sương mù, ít hoạt động biển, nhưng ít khách hơn."
Đà Nẵng,Đà Nẵng,Mức độ an toàn,"An ninh cao ở khu du lịch, thành phố sạch sẽ, ít tội phạm. Cẩn thận trộm cắp ở bãi biển và chợ đông đúc. Bão mùa hè: theo dõi VTV hoặc app Windy, tránh đi nếu cảnh báo. Nước biển sạch đạt chuẩn tắm, có cứu hộ. Không dịch bệnh đặc biệt, nhưng mang thuốc cảm cúm nếu lạnh đột ngột. Cấp cứu: 115 hoặc BV Đà Nẵng (trung tâm thành phố)."
Đà Nẵng,Đà Nẵng,Tổng chi phí (3N2Đ/1 người),"Vé máy bay khứ hồi HN/TPHCM–ĐN: 1.5-2 triệu; Khách sạn 3 sao (view biển): 800k-1.2 triệu; Ăn uống (hải sản, đặc sản): 600k-800k; Vé Bà Nà Hills (cáp treo + công viên): 900k-1.2 triệu; Thuê xe máy: 200k-300k; Vé Marble Mountains: 40k; Tổng ≈ 3.5-5 triệu (tiết kiệm, homestay) → 7-9 triệu (thoải mái, resort cao cấp và ăn hải sản sang)."
Đà Nẵng,Đà Nẵng,Gói tour tiết kiệm,"Combo 3N2Đ (bay + ks 3* + Bà Nà + Mỹ Khê + tour thành phố): 2.5–3.5 triệu/người (Vietravel, Klook). Tour ngày Bà Nà Hills (cáp treo + ăn trưa): 1.2-1.5 triệu. Gói budget: xe khách + homestay + tự khám phá: dưới 2.5 triệu."
Đà Nẵng,Đà Nẵng,Nơi ở (đề xuất 5),"1. Furama Resort (bãi biển Mỹ Khê) – 9.0/10 Booking, sạch sẽ, hồ bơi vô cực, spa, bữa sáng buffet, wifi mạnh, gần trung tâm, 1.5-2 triệu. 2. Wyndham Danang (view vịnh) – 8.7/10, tiện nghi hiện đại, bữa sáng, hồ bơi, dịch vụ hỗ trợ tour, 1-1.5 triệu. 3. Nice Dream Hotel (trung tâm) – 8.5/10, giá rẻ, sạch sẽ, wifi, bữa sáng đơn giản, gần chợ Hàn, 400k-600k. 4. Romeo & Juliet Resort (bãi biển) – 8.2/10, hồ bơi, gần Marble Mountains, hỗ trợ thuê xe, 500k-700k. 5. Canary Boutique Hotel – 8.0/10, budget, sạch sẽ, wifi, gần cầu Rồng, 300k-400k."
Đà Nẵng,Đà Nẵng,Di chuyển đến nơi,"Máy bay (Nội Bài/TSN → Đà Nẵng, 1.5-2 triệu khứ hồi, các hãng Vietnam Airlines, Vietjet). Xe khách (10-12h từ HN, 500k-700k). Tàu hỏa (15h từ HN, 800k-1 triệu). Từ sân bay Đà Nẵng về trung tâm: taxi/Grab 100k-200k (20 phút)."
Đà Nẵng,Đà Nẵng,Giao thông nội bộ,"Thuê xe máy: 150k-200k/ngày (dễ đi lại, khám phá Sơn Trà). Grab: 10k-15k/km, tiện lợi. Xe bus: 20k/lượt (tuyến sân bay-trung tâm). Xe điện Bà Nà: 900k vé khứ hồi (cáp treo). Thời gian di chuyển: trung tâm đến Bà Nà 1h, đến Marble Mountains 30 phút, chi phí hợp lý (Grab rẻ hơn taxi)."
Đà Nẵng,Đà Nẵng,Ẩm thực,"Đặc sản: Mi Quang (mì turmeric với tôm/thịt), Banh Trang Cuon Thit Heo (thịt heo cuốn bánh tráng), hải sản tươi (tôm hùm nướng, mực một nắng). Quán ngon: Bà Mua (Mi Quang, 52 Hoàng Hoa Thám, 50k-100k), Sen Á Đông (buffet hải sản, 1 Hạ Long, 200k-400k), hợp khẩu vị miền Bắc/Nam, giá hợp lý. An toàn thực phẩm cao ở quán uy tín, tránh dị ứng hải sản bằng cách hỏi nguyên liệu, chọn hải sản sống."
Đà Nẵng,Đà Nẵng,Hoạt động và trải nghiệm,"Tham quan: Cầu Rồng phun lửa (tối T7/CN), leo Marble Mountains (hang động, view), tắm biển Mỹ Khê (nước sạch, sóng nhẹ). Tắm biển, leo núi Sơn Trà (trekking khỉ hoang dã), chụp ảnh Cầu Vàng, khám phá văn hóa Chăm (bảo tàng), lễ hội pháo hoa (tháng 6), shopping chợ Hàn. Trải nghiệm độc đáo: Cáp treo Bà Nà dài nhất thế giới, kayak vịnh, food tour đường phố. Tour ngắn ngày: Bà Nà 1 ngày (900k), hoạt động trẻ em/gia đình: Sun World công viên nước, thủy cung."
Đà Nẵng,Đà Nẵng,Thông tin và kết nối,"Internet: Wifi mạnh khắp ks/quán (50-100Mbps), sóng điện thoại 4G/5G phủ sóng tốt (Viettel tốt nhất). Bản đồ: Google Maps, app du lịch: Danang Travel (tour), Klook (vé). Không cần visa nội địa. Bảo hiểm du lịch: 200k/3 ngày (bao kayak). Hỗ trợ khẩn cấp: 115 (cấp cứu), số địa phương: Sở Du lịch Đà Nẵng 0236 3550 111."
Đà Nẵng,Đà Nẵng,Yếu tố cá nhân,"Ai đi cùng: Gia đình (công viên, biển an toàn), bạn bè (water sports), người yêu (Cầu Vàng lãng mạn), một mình (thư giãn beach). Mục đích: Nghỉ dưỡng biển, khám phá hiện đại, đổi gió từ thành phố, chụp ảnh icon, học văn hóa Chăm. Trải nghiệm cảm xúc: Vui vẻ với lễ hội, thư giãn bên biển, thoải mái di chuyển, an toàn cao cho mọi lứa tuổi."
Đà Nẵng,Đà Nẵng,Thời tiết và khí hậu,"Thời điểm đẹp: Mùa khô 4–6 (nắng ấm, hoa nở), tránh mùa mưa bão 10–12 (mưa lớn, lũ). Nhiệt độ TB: 25–30°C, độ ẩm cao 80%, nắng gắt hè, mưa đột ngột. Trang phục: Đồ bơi, kem chống nắng SPF50, áo khoác mỏng tối, dép lê biển, giày thể thao leo núi. Ảnh hưởng lịch trình: Tắm biển ok mùa khô, trekking Marble Mountains tránh mưa trơn, tham quan ngoài trời tốt nắng đẹp; kiểm tra dự báo 5-7 ngày trước qua AccuWeather."

Hội An,Quảng Nam,Điểm đến,"Phố cổ UNESCO với đèn lồng rực rỡ, sông Hoài thơ mộng, làng gốm Thanh Hà (làm gốm thủ công), Cù Lao Chàm (biển đảo sinh thái, lặn san hô), mũi Đại Lãnh (bãi biển hoang sơ), ẩm thực cao lầu đặc trưng, check-in: Chùa Cầu (cầu Nhật Bản 400 năm), nhà cổ Tấn Ký (kiến trúc cổ), Phúc Kiến Hội Quán (hội quán Trung Hoa), An Bang Beach (bãi biển đẹp), Tra Que vegetable village (làng rau hữu cơ), My Son Sanctuary (di tích Chăm cổ)."
Hội An,Quảng Nam,Thời điểm đẹp nhất,"Tháng 2–8: Khô ráo, 25–30°C, lý tưởng thả đèn lồng và lễ hội. Tránh 9–12 (mưa lũ, ngập phố cổ), mùa đông 1–2 lạnh nhưng ít khách, hoa nở."
Hội An,Quảng Nam,Mức độ an toàn,"An ninh tốt, dân thân thiện, ít tội phạm. Cẩn thận lũ mùa mưa (theo dõi VTV, tránh đi bộ ngập). Biển an toàn với cứu hộ, không dịch bệnh. Cấp cứu: 115 hoặc BV Hội An."
Hội An,Quảng Nam,Tổng chi phí (3N2Đ/1 người),"Xe từ Đà Nẵng–Hội An: 100k-200k; KS boutique: 1-1.5 triệu; Ăn: 600k-800k; Vé phố cổ: 150k; Tour Cù Lao Chàm: 500k; Tổng ≈ 2.5-4 triệu (tiết kiệm) → 5-6 triệu (sang)."
Hội An,Quảng Nam,Gói tour tiết kiệm,"Combo 3N2Đ (ks + tour Cù Lao Chàm + phố cổ + cooking class): 2-3 triệu (Klook). Tour ngày My Son: 500k."
Hội An,Quảng Nam,Nơi ở (đề xuất 5),"1. Anantara Hoi An Resort (sông Hoài) – 9.0/10, view sông, hồ bơi, spa, bữa sáng, 1.5-2 triệu. 2. Rosa Alba Resort – 8.5/10, gần biển, bữa sáng, 1-1.2 triệu. 3. Hoang Trinh Hotel – 8.2/10, trung tâm cổ trấn, wifi, 400k-600k. 4. Lantana Boutique – 8.0/10, giá rẻ, sạch sẽ, 300k-500k. 5. Homestay phố cổ – 7.8/10, gia đình, bữa sáng, 250k-400k."
Hội An,Quảng Nam,Di chuyển đến nơi,"Máy bay → Đà Nẵng + xe (30km, 100k-200k, 45 phút). Xe khách từ HN: 1 triệu (20h). Tàu hỏa đến Đà Nẵng + bus."
Hội An,Quảng Nam,Giao thông nội bộ,"Thuê xe đạp: 50k/ngày (dạo phố cổ). Xe máy: 120k-150k. Đi bộ trung tâm miễn phí. Thời gian: phố cổ đến Cù Lao Chàm 1h thuyền, chi phí rẻ."
Hội An,Quảng Nam,Ẩm thực,"Đặc sản: Cao Lầu (mì dai với thịt xá xíu), Mi Quang (mì turmeric), White Rose (bánh cuốn tôm). Quán: Madam Khanh (banh mi, 74 Trần Hưng Đạo, 30k-50k), Morning Glory (cao lầu, 106 Nguyễn Thái Học, 100k-200k). Giá hợp lý, hợp khẩu vị Việt. An toàn cao, tránh dị ứng tôm bằng cách chọn quán sạch, hỏi nguyên liệu."
Hội An,Quảng Nam,Hoạt động và trải nghiệm,"Tham quan: Phố cổ ban đêm (đèn lồng), thả đèn sông Hoài (lễ hội hàng tháng). Tắm biển An Bang, lặn san hô Cù Lao Chàm, chụp ảnh Chùa Cầu, khám phá văn hóa Chăm My Son, lễ hội đèn lồng, shopping may đo. Trải nghiệm độc đáo: Làm đèn lồng workshop, cooking class cao lầu. Tour ngắn ngày: Cù Lao Chàm (500k), hoạt động trẻ em/gia đình: Làng gốm, basket boat tour."
Hội An,Quảng Nam,Thông tin và kết nối,"Internet: Wifi mạnh ks/quán (50Mbps+), sóng 4G tốt. Bản đồ: Google Maps, app: Hoi An Travel. Không visa. Bảo hiểm: 200k. Hỗ trợ: Sở Du lịch Quảng Nam 0251 3861 881."
Hội An,Quảng Nam,Yếu tố cá nhân,"Ai đi cùng: Người yêu (lãng mạn đèn lồng), gia đình (lễ hội vui), bạn bè (cooking class), một mình (thư giãn biển). Mục đích: Nghỉ dưỡng cổ trấn, khám phá văn hóa, đổi gió, chụp ảnh đèn lồng, học may đo. Trải nghiệm cảm xúc: Lãng mạn ban đêm, thư giãn biển, thoải mái đi bộ, an toàn cao."
Hội An,Quảng Nam,Thời tiết và khí hậu,"Thời điểm đẹp: Mùa khô 2–8 (25–30°C, hoa nở, ít mưa). Nhiệt độ TB: 25–30°C, độ ẩm 80%, mưa lớn 9–12. Trang phục: Áo thoáng, mũ, kem chống nắng, áo mưa mùa mưa, giày thoải mái dạo phố. Ảnh hưởng: Tắm biển ok khô, thả đèn tránh mưa; kiểm tra dự báo 5-7 ngày qua AccuWeather."

